# VERSION=1.0
# NAME=Protein levels for normal Liver
# DESCRIPTION= data from the Human Protein Atlas - "Normal tissue data". Protein levels are categorized in "High", "Medium", "Low", or "Not detected". It was included all levels of confidence. Color was categorized as -1 (dark red) for "High", -0.66 (medium red) for "Medium", -0.33 (light red) for "Low", and 0 (white) for "Not detected". Only hepatocytes annotated genes were used. 13453 genes included. 22/06/2022.
# CONTACT= ONTOX UL team. lc.ladeira@uliege.be
# REFERENCE= Karlsson, Max, Cheng Zhang, Loren Méar, Wen Zhong, Andreas Digre, Borbala Katona, Evelina Sjöstedt, et al. 2021. “A Single–Cell Type Transcriptomics Map of Human Tissues.” Science Advances 7 (31): 1–10. https://doi.org/10.1126/sciadv.abh2169.
name	value	
TMEM176A	-1
M6PR	-1
AP2B1	-1
FARP2	-1
GTF2IRD1	-1
ARSD	-1
ST3GAL1	-1
IDS	-1
MBTD1	-1
GLT8D1	-1
TTC27	-1
PRDM11	-1
TBC1D23	-1
THAP3	-1
PHKA2	-1
H6PD	-1
PER3	-1
FNIP2	-1
HHAT	-1
DNAJC25	-1
SBNO2	-1
FTSJ1	-1
RORA	-1
NDST1	-1
GLI2	-1
TTC38	-1
GPC4	-1
GPR137B	-1
JADE1	-1
PIK3C3	-1
TIGAR	-1
REXO1	-1
PHLPP1	-1
PIBF1	-1
NFX1	-1
L2HGDH	-1
ALG6	-1
PPP2R3C	-1
MAP3K1	-1
HIVEP1	-1
MARCHF2	-1
DDTL	-1
DDT	-1
CARD10	-1
HPS4	-1
TTLL1	-1
MCAT	-1
TXN2	-1
SDR39U1	-1
GNPNAT1	-1
CNIH1	-1
GSTZ1	-1
MTHFD1	-1
PCNX1	-1
DCAF11	-1
ACOT8	-1
APMAP	-1
CEP76	-1
PLP2	-1
MAGT1	-1
SRPX2	-1
FNDC3A	-1
DHODH	-1
DNAJA3	-1
CLPTM1	-1
TRMT1	-1
PTOV1	-1
PLA2G4C	-1
TMEM205	-1
TFPT	-1
CHN2	-1
TMEM176B	-1
LHX6	-1
DVL1	-1
ATE1	-1
SFXN3	-1
RPL28	-1
RPS6KB1	-1
B9D1	-1
C17orf75	-1
DPH1	-1
OCIAD1	-1
KLHL5	-1
ELP4	-1
MS4A6A	-1
GALNT18	-1
MVK	-1
OAS2	-1
MRPL51	-1
GNPTAB	-1
GOLT1B	-1
GYS2	-1
RAB35	-1
FRK	-1
RWDD1	-1
RNGTT	-1
SLC39A7	-1
MRPL2	-1
PRPF4B	-1
HMGCS1	-1
RNF130	-1
CRBN	-1
NIT2	-1
UBE3A	-1
XRN1	-1
RPL24	-1
CYB561D2	-1
INO80D	-1
LMAN2L	-1
EVA1A	-1
PDCL3	-1
ODC1	-1
PCYOX1	-1
PLEKHM2	-1
CRYZ	-1
NR5A2	-1
APH1A	-1
KDSR	-1
KLHL29	-1
DNMT3A	-1
LGALSL	-1
MTHFD1L	-1
WBP4	-1
GLT8D2	-1
TNFRSF10B	-1
CCRL2	-1
ACVR2A	-1
FKBP9	-1
GIPC1	-1
SARDH	-1
SLC36A1	-1
AGO2	-1
ACSL3	-1
ZNFX1	-1
TREM1	-1
CNOT1	-1
PPP1R12C	-1
NRSN2	-1
PSMB2	-1
TUBGCP3	-1
SCAF1	-1
SLC10A3	-1
COX7C	-1
DYRK2	-1
GFER	-1
PTPN12	-1
PAICS	-1
ITFG1	-1
NSUN5	-1
UBAC1	-1
EXOSC2	-1
UCK1	-1
PPAN	-1
LATS1	-1
GGT7	-1
EXOC4	-1
C1orf159	-1
ANGPTL3	-1
DSTYK	-1
NUMB	-1
KATNBL1	-1
GSTM1	-1
RSAD2	-1
RELCH	-1
FADS2	-1
TPP2	-1
USP30	-1
MTO1	-1
SNX14	-1
TMBIM1	-1
ISCU	-1
VPS36	-1
BORA	-1
NUDT15	-1
MRPL50	-1
SLC22A7	-1
MTCH1	-1
FAM8A1	-1
GGH	-1
DDX60	-1
BCL2L10	-1
THUMPD2	-1
DNAJC13	-1
ASNSD1	-1
SECISBP2L	-1
GSTCD	-1
CPNE8	-1
SUOX	-1
NEIL1	-1
DEF8	-1
ESCO1	-1
DYM	-1
SIK1	-1
ALDH9A1	-1
EIF2D	-1
DUSP10	-1
CNIH4	-1
SLC20A1	-1
FAHD2B	-1
UBXN4	-1
MANF	-1
BTF3	-1
TBC1D7	-1
SLC17A4	-1
TRIM7	-1
SHPRH	-1
AIG1	-1
UGCG	-1
GLUD1	-1
FUOM	-1
ADM	-1
SLX4IP	-1
B3GAT3	-1
SEC24D	-1
DCP1B	-1
NGLY1	-1
UEVLD	-1
SCLT1	-1
TMEM45B	-1
NBAS	-1
C18orf25	-1
SRP19	-1
PID1	-1
SKA1	-1
AZIN1	-1
DBI	-1
RASA2	-1
RMND1	-1
NDUFAF6	-1
RPGR	-1
ATP5MPL	-1
UQCRB	-1
FZD1	-1
DDX19B	-1
DHRS1	-1
AASDH	-1
WDR19	-1
PRXL2C	-1
MRAS	-1
EIF5B	-1
ALG8	-1
PAXBP1	-1
RSPRY1	-1
TAOK1	-1
ANO10	-1
DVL3	-1
ACOX1	-1
LSM12	-1
LARP4	-1
WDR90	-1
USP24	-1
LAPTM5	-1
KIAA1841	-1
