# VERSION=1.0
# NAME=Expression values for normal Liver
# DESCRIPTION= data from the Human Protein Atlas - "RNA consensus tissue gene data". Data used was the nTPM counts. Only liver annotated genes were used. Data was normalized to range from 0 to 1. Threshold defined in the nTPM when = or > than 1000 was defined as 1 (Dark Blue). This reduce the sensitivity to vizualize the extremely high expressed, but increase the sensitivity to the middle expressed (more than ~90% of the data). 16116 genes included. 22/06/2022.
# CONTACT= ONTOX UL team. lc.ladeira@uliege.be
# REFERENCE= Karlsson, Max, Cheng Zhang, Loren Méar, Wen Zhong, Andreas Digre, Borbala Katona, Evelina Sjöstedt, et al. 2021. “A Single–Cell Type Transcriptomics Map of Human Tissues.” Science Advances 7 (31): 1–10. https://doi.org/10.1126/sciadv.abh2169.
name	value	
MT-ATP8	1
MT-ATP6	1
MT-CO2	1
MT-ND4	1
MT-CO1	1
MT-CO3	1
MT-ND4L	1
MT-ND3	1
ALB	1
HP	1
MT-CYB	1
MT-ND2	1
SAA1	1
MT-ND1	1
ORM1	1
SAA2	1
SERPINA1	1
APOC3	1
APOA2	1
APOA1	1
FGA	1
APOC1	1
FGB	1
FTL	1
FGG	1
RBP4	1
MT-ND6	1
MT-ND5	1
CRP	1
SERPINA3	1
ORM2	1
MT1G	1
APOE	1
TTR	1
FABP1	1
APOH	1
CYP2E1	1
MT2A	1
AMBP	1
CLU	1
ALDOB	1
APOC2	1
FGL1	1
HPX	1
TPT1	1
MT1X	1
RPL41	1
EEF1A1	1
VTN	1
RPS27	1
FTH1	1
APCS	1
RPS29	1
CFB	1
GAPDH	1
IFITM3	1
ATF5	1
SERPING1	1
RPL10	1
UBB	1
AHSG	1
C3	1
RPS19	1
APOC4-APOC2	1
AGXT	1
RPL13	1
RPS18	1
RPL37A	1
HAMP	1
AZGP1	1
RARRES2	1
SERPINC1	1
TF	1
HBB	1
MGST1	1
RPL3	1
RPL39	1
P4HB	1
HBA2	1
DCXR	1
HPD	1
ITIH4	1
SAA4	1
MT1E	1
RPL35	1
ADH1B	1
SELENOP	1
GC	1
RPL31	1
TMEM176B	1
ANG	1
RPS9	1
RPL13A	1
AGT	1
RPS11	1
SERPINF2	1
RPLP1	1
RPS16	1
RPS17	1
RPL27A	1
RPS20	1
ASS1	1
CYB5A	1
RPL19	1
RPL34	1
RPS15A	1
IGFBP4	1
RPL17	1
RPL30	1
RPL28	1
RPL11	1
RPS12	1
RPL26	1
PEBP1	1
RPLP0	1
C1R	1
RPS2	1
RPS24	1
RPL7A	1
TMSB4X	1
HMGCS2	1
LBP	1
RPS6	1
SERF2	1
PPIA	1
RPL27	1
KNG1	1
IFITM2	1
ACTB	1
SOD1	1
ADH4	1
EPHX1	1
A1BG	1
CES1	1
HRG	1
CD81	1
RPS27A	1
RPS10	1
RPL18A	1
RPL29	1
EEF2	1
MT1H	1
CYP3A4	1
HSPA1A	1
TMEM176A	1
RPL38	1
RPS15	1
ACSL1	1
HBA1	1
RPL32	1
ASGR1	1
RPS21	1
RPL21	1
RPS8	1
RPL23	1
RPS3A	1
RPL7	1
RPL9	1
MYL6	1
GSTA1	1
UQCRQ	1
RPS14	1
SDS	1
SLC27A5	1
ECHS1	1
RPS5	0.989092711948438
RPL12	0.979771938522558
GPX3	0.977987109568666
RPL18	0.966484878532474
RPSA	0.964303420922161
RPL24	0.948239960337134
ITIH1	0.947545860188398
RPS7	0.936440257808626
LRG1	0.936241943480416
FTCD	0.931879028259792
CYP2A6	0.923648983639068
MST1	0.920079325731284
UBA52	0.919583539910758
RPS26	0.918790282597918
RPL6	0.91591472483887
CFHR1	0.913138324243926
RPL15	0.903817550818046
CYP2C9	0.888051561725335
F2	0.884382746653446
IGKC	0.880118988596926
RPL23A	0.875557759048091
B2M	0.87496281606346
HPN	0.858899355478433
NACA	0.856023797719385
TAT	0.852652454139812
RPS23	0.848487853247397
TMBIM6	0.835597421913733
RPL10A	0.833812592959841
ASGR2	0.833614278631631
DDT	0.828854734754586
CST3	0.826574119980168
RPL36A	0.822508676251859
IL32	0.822310361923649
RPL36	0.817055032226078
C4BPA	0.798810114030739
IGFBP1	0.79067922657412
EEF1G	0.788398611799702
GATM	0.788200297471492
ITIH3	0.78601883986118
CHCHD10	0.783044124938027
CALR	0.775706494794249
DBI	0.769757064947942
ACTG1	0.756370847793753
FAU	0.749925632126921
ARG1	0.746851760039663
PLG	0.74447198810114
PAH	0.743182944967774
PPIB	0.731184928111056
LDHA	0.723054040654437
DUSP1	0.715220624690134
RIDA	0.706098165592464
STARD10	0.703718393653942
RPL8	0.703619236489836
ACAA2	0.701338621715419
COX6A1	0.701140307387209
CPS1	0.689340604858701
CFH	0.688051561725335
UBC	0.688051561725335
HSD17B6	0.682994546355974
GPX4	0.682002974714923
HSPA1B	0.679623202776401
RPL5	0.677045116509668
PCK1	0.675656916212196
SCP2	0.670699058006941
SAT1	0.668319286068419
RPS25	0.664551313832424
EDF1	0.663063956370848
FBP1	0.661576598909271
RPS13	0.659593455627169
CYP2C8	0.659593455627169
G0S2	0.658998512642539
PTMA	0.6466038671294
RPL35A	0.637977193852256
PFN1	0.632325235498265
RPLP2	0.629747149231532
ADH1A	0.628854734754586
GPX2	0.628656420426376
RPS3	0.626375805651958
PSAP	0.620723847297967
GABARAP	0.619930589985127
A2M	0.61864154685176
SULT2A1	0.617848289538919
CPB2	0.616757560733763
GAMT	0.609915716410511
C9	0.60912245909767
LY6E	0.608824987605355
ENO1	0.607040158651463
COX4I1	0.606048587010412
SERPINF1	0.605552801189886
MLXIPL	0.604561229548835
SLC22A1	0.60446207238473
IGFBP2	0.602578086266733
ADH1C	0.602478929102628
F12	0.599504214179475
APOC4	0.594248884481904
PROC	0.593455627169063
ATP5ME	0.586712940009916
HSP90B1	0.58601883986118
EEF1D	0.577987109568667
APOA5	0.577193852255826
HPR	0.575904809122459
PRAP1	0.575409023301934
PRDX1	0.574119980168567
RACK1	0.571938522558255
MAT1A	0.570352007932573
DHCR24	0.562816063460585
RDH16	0.560932077342588
PTMS	0.560436291522063
C1S	0.560138820029747
C8G	0.559643034209222
ID2	0.557759048091225
MT1M	0.55765989092712
MT1F	0.557263262270699
COL18A1	0.557164105106594
TST	0.556470004957858
ATP5MF	0.556470004957858
ECH1	0.551412989588498
HSPB1	0.550223103619237
SLC39A14	0.546653445711453
TPI1	0.531581556767477
SLC25A47	0.530193356470005
CERS2	0.527813584531483
BHMT	0.523153197818543
HSPA8	0.522756569162122
ACSM2B	0.519087754090233
TMSB10	0.517600396628657
KRT18	0.515121467526029
ACADVL	0.513039167079822
ACAT1	0.506891422905305
CXCL2	0.505602379771939
HSPE1	0.504709965294993
APOB	0.504115022310362
ATP5MD	0.503321764997521
COX7C	0.50252850768468
ERRFI1	0.501437778879524
PLIN2	0.500842835894894
NDUFB1	0.498958849776897
GSTM1	0.493108577094695
CTSB	0.49300941993059
EIF5A	0.491422905304909
ETFB	0.489439762022806
ATF4	0.488745661874071
SPINK1	0.487654933068914
GRHPR	0.486365889935548
HLA-B	0.484779375309866
CYP4A11	0.48329201784829
HLA-C	0.481606346058503
SDC1	0.480614774417452
MIF	0.480515617253347
FXYD1	0.478532473971245
AKR1C2	0.477838373822509
GLUD1	0.477441745166089
INSIG1	0.475855230540407
CYP27A1	0.474863658899356
C2	0.473872087258305
MASP2	0.472483886960833
CP	0.471194843827467
ALDH1A1	0.469211700545365
EFNA1	0.468815071888944
CFL1	0.467030242935052
C4BPB	0.466435299950422
C8B	0.465344571145266
CD63	0.46504709965295
ALDH2	0.462270699058007
SEC61B	0.461378284581061
CTSD	0.460882498760536
KRT8	0.45999008428359
ZFP36	0.458106098165593
SOD2	0.45592464055528
TIMP1	0.454734754586019
VKORC1	0.45106593951413
PLGLB2	0.450570153693605
AOX1	0.450173525037184
XBP1	0.449578582052554
TDO2	0.447397124442241
ADI1	0.446901338621716
COX8A	0.446108081308875
CHI3L1	0.444025780862668
GRINA	0.443331680713932
EEF1B2	0.442042637580566
AGPAT2	0.441249380267725
HSPD1	0.440852751611304
ATP5F1B	0.440257808626674
HSD11B1	0.437183936539415
GSTK1	0.433713435795737
ALDH4A1	0.432920178482896
PFDN5	0.429747149231532
RHOB	0.429747149231532
ITIH2	0.428755577590481
MT1A	0.4271690629648
RPS4X	0.424888448190382
NME2	0.424789291026277
SLC22A7	0.424293505205752
ST6GAL1	0.421814576103124
ACAA1	0.419335647000496
IGFBP3	0.417451660882499
SCD	0.415171046108082
CREB3L3	0.411998016856718
SLC13A5	0.410510659395142
GSTO1	0.407139315815568
ANGPTL8	0.406346058502727
GADD45B	0.405453644025781
THRSP	0.405453644025781
SLC9A3R2	0.404858701041151
NDUFV2	0.398909271194844
FCGRT	0.398215171046109
SHMT1	0.39533961328706
REEP6	0.394645513138325
SSR4	0.394248884481904
UBL5	0.393951412989589
OAF	0.393257312840853
HSP90AB1	0.393158155676748
ASL	0.393058998512643
UGT2B4	0.392662369856223
PTP4A1	0.391472483886961
C8A	0.389191869112544
SQSTM1	0.388696083292018
HLA-A	0.388696083292018
MPST	0.387407040158652
APOM	0.387407040158652
AFM	0.386117997025286
NNMT	0.38562221120476
HNRNPA2B1	0.38522558254834
UGP2	0.384333168071394
ATP5MC3	0.382052553296976
C4B	0.381953396132871
FMO3	0.378978681209718
NDUFA11	0.377293009419931
H3-3B	0.376995537927616
ATP5PF	0.374814080317304
HGD	0.374417451660883
BTF3	0.374417451660883
PCBD1	0.373624194348042
PCK2	0.370946950917205
COX5B	0.369657907783838
ATP5PD	0.368269707486367
SLC25A3	0.366980664353
GOT1	0.366385721368369
NDRG2	0.364799206742688
CD74	0.363708477937532
AKR1C1	0.363708477937532
GADD45G	0.362915220624691
ATP5F1D	0.362221120475955
GLYAT	0.358849776896381
PTGR1	0.358453148239961
ACSM2A	0.355478433316808
RPL22	0.355280118988598
CTSZ	0.353396132870601
HSP90AA1	0.35319781854239
CD14	0.353098661378285
IGHG1	0.353098661378285
F9	0.352305404065444
BAAT	0.351809618244919
