name	value
TSPAN6	0.40236662832629605
TNMD	0
DPM1	0.3334200041462513
SCYL3	0.28626209916532286
C1orf112	0
FGR	0
CFH	0.40236662832629605
FUCA2	0.40236662832629605
GCLC	0.37117245956616907
NFYA	0.22138545121914419
STPG1	0
NIPAL3	0.30758901546616557
LAS1L	0.3477226581230151
ENPP4	0.2974801243966896
SEMA3F	0.16052560743713037
CFTR	0.42937012873728064
ANKIB1	0.28626209916532286
CYP51A1	0.22138545121914419
KRIT1	0.1961698610962311
RAD52	0
BAD	0.44059825971369554
LAP3	0.3334200041462513
CD99	0.4869027389029845
HS3ST1	0.3762172701041192
AOC1	0
WNT16	0
HECW1	0
MAD1L1	0.1961698610962311
LASP1	0.41338929118741286
SNX11	0.10895805394340745
TMEM176A	0.4918748038315608
M6PR	0.39848128512376574
KLHL13	0
CYP26B1	0
ICA1	0.3406377654678353
DBNDD1	0.3172505086172886
ALS2	0.2736612139555966
CASP10	0.24159994697992418
CFLAR	0.46634741501170396
TFPI	0.5314255346793846
NDUFAF7	0.1961698610962311
RBM5	0.3334200041462513
MTMR7	0
SLC7A2	0.38561701672325926
ARF5	0.41338929118741286
SARM1	0.10895805394340745
POLDIP2	0.41675648795567233
PLXND1	0.22138545121914419
AK2	0.4379400368270479
CD38	0
FKBP4	0.41675648795567233
KDM1A	0.2736612139555966
RBM6	0.3655789457085137
CAMKK1	0
RECQL	0.25847252996651743
VPS50	0.10895805394340745
HSPB6	0
ARHGAP33	0
NDUFAB1	0.4869027389029845
PDK4	0.3334200041462513
SLC22A16	0
ZMYND10	0
ABCB5	0
ARX	0
SLC25A13	0.3256542808571726
ST7	0.22138545121914419
CDC27	0.2736612139555966
SLC4A1	0
CALCR	0
HCCS	0.2974801243966896
DVL2	0.1961698610962311
PRSS22	0.3655789457085137
UPF1	0.28626209916532286
SKAP2	0.10895805394340745
SLC25A5	0.5898571988637888
MCUB	0.10895805394340745
HOXA11	0
POLR2J	0.4483103204431456
DHX33	0.2974801243966896
MEOX1	0
THSD7A	0.30758901546616557
LIG3	0.24159994697992418
RPAP3	0.25847252996651743
ACSM3	0.30758901546616557
REXO5	0
CIAPIN1	0.3334200041462513
SPPL2B	0.30758901546616557
FAM214B	0.16052560743713037
COPZ2	0
PRKAR2B	0.25847252996651743
MSL3	0.22138545121914419
CREBBP	0.3655789457085137
TSPOAP1	0.10895805394340745
MPO	0
PON1	0.2974801243966896
GCFC2	0.2736612139555966
WDR54	0.3172505086172886
CROT	0.28626209916532286
ABCB4	0
KMT2E	0.4507153547135229
RHBDD2	0.40236662832629605
SOX8	0
IBTK	0.3944425871523004
ZNF195	0.25847252996651743
MYCBP2	0.3477226581230151
FBXL3	0.2736612139555966
ITGAL	0
PDK2	0.28626209916532286
ITGA3	0.3334200041462513
